"MovieId","Movie Rating","Duration","Gross_M","Worldwide LT Gross","Metascore","MovieAge","Action","comedy","horror","romance","sci_fi","drama","MovieLength","Votes_cat"
"2276ff09f250640d152971600f831f9bab39998e",4.9,106,101,259175788,48,19,1,1,0,0,0,0,"1hr 46mins","Adequate"
"22fd52e7c36f8c338e78527368c355b19375542b",7.4,130,171,327281779,73,3,1,0,0,0,0,0,"2hr 10mins","Adequate"
"230c88640a27d0e8e90e2aacbe6107204f91f1b7",6.7,113,57,234989584,49,10,0,1,0,0,0,0,"1hr 53mins","Adequate"
"23a22ded4c1c98a2f99e70307c530b0c68a01099",6.5,124,220,459242249,48,15,1,0,0,0,0,0,"2hr 4mins","Adequate"
"23e05ea1a0b54669bc167c0c060d6d807c65c163",6.6,108,114,256697520,44,18,0,0,0,0,0,1,"1hr 48mins","Adequate"
"242a62ead791cc933efcb552b290c14472e1bad0",6.7,108,84,296069199,58,5,0,1,0,0,0,0,"1hr 48mins","Satisfactory"
"2472090d8fdf27f4f6d64e912d40636ef64fa434",7.9,119,122,214034224,68,20,1,0,0,0,0,0,"1hr 59mins","Adequate"
"2503124d1ce032b7ae52378910b16d72e7e83b5f",6.4,93,163,234801895,41,23,0,0,0,0,0,0,"1hr 33mins","Adequate"
"26c3b05ef5e3b2625d17f2a386a6637145651b27",7.6,101,15,204826668,86,14,0,1,0,0,0,0,"1hr 41mins","Adequate"
"2704f69283ec67f651ae81201305910d69c2be28",6.6,141,101,195268056,50,29,0,0,0,0,0,0,"2hr 21mins","Satisfactory"
"270e770440d1ee19229ed5cff9f43375ae122529",6.9,124,312,623933331,57,12,1,0,0,0,1,0,"2hr 4mins","Adequate"
"276ed55ac068820424b5deb2eeb5db3b3d722e68",7.7,116,183,450717150,74,21,0,0,0,0,0,0,"1hr 56mins","Adequate"
"2812e8eef28dffc935146a5cadd24c64cfb0cc66",7.6,83,112,211343479,88,33,0,1,0,0,0,0,"1hr 23mins","Adequate"
"289012afc8a605d31a7f89f6a8f74e5ec8cb115e",6.1,96,150,242786137,42,7,0,0,0,0,0,0,"1hr 36mins","Adequate"
"289abd47828d475ca98115d35d7b076ac66502fb",6.6,165,50,211787511,53,14,0,0,0,1,0,0,"2hr 45mins","Adequate"
"289ec066d1c9340d550d2709e0dc822a07676296",8.2,135,171,316791257,72,21,0,0,0,0,0,0,"2hr 15mins","Adequate"
"28b09ebe7125f4ee9d6d1eda895c67c93883ee2a",7.1,124,129,204334455,45,1,0,0,0,0,0,0,"2hr 4mins","Adequate"
"28eb760fe1c9796b750f61e5536d8e5311289c5f",6.6,136,226,1236005118,56,5,1,0,0,0,0,0,"2hr 16mins","Adequate"
"28f3ed6b3c29c43b4fd60efabb43adc379b218f4",7.7,138,141,243240178,62,30,0,0,0,0,0,1,"2hr 18mins","Adequate"
"2908b1a382654dcd32279da354a9ebbdabb91840",6.6,118,180,371594210,58,17,0,0,0,1,0,0,"1hr 58mins","Adequate"
"29783b8d2655e99066b7556fe6bf4d6ec8e11fc3",6.5,108,144,611257819,51,14,0,0,0,1,0,0,"1hr 48mins","Adequate"
